timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
31110905,31093137,3997706,-133.53754,40.1,102939.26,1.2230886
31332071,31309471,3997706,-133.53754,40.12,102939.24,1.2230885
31382389,31362208,3997706,-133.65909,40.11,102940.75,1.2231064
31432521,31414938,3997706,-133.49527,40.12,102938.74,1.2230825
31492880,31470229,3997706,-133.26802,40.12,102936.0,1.22305
31542992,31522914,3997706,-133.33145,40.12,102936.74,1.2230588
31593311,31575736,3997706,-133.24689,40.12,102935.74,1.2230469
31653668,31630929,3997706,-133.3103,40.12,102936.5,1.223056
31703806,31683714,3997706,-133.33145,40.12,102936.74,1.2230588
31754124,31736498,3997706,-133.2099,40.12,102935.25,1.223041
31814275,31791688,3997706,-133.3103,40.129997,102936.5,1.223056
31864624,31844544,3997706,-133.28917,40.129997,102936.26,1.223053
31914935,31897214,3997706,-133.57982,40.129997,102939.76,1.2230946
31975082,31952488,3997706,-133.97089,40.129997,102944.49,1.2231508
32025443,32005240,3997706,-133.8282,40.14,102942.75,1.2231301
32075585,32057985,3997706,-134.23512,40.129997,102947.75,1.2231896
32136145,32113542,3997706,-134.58391,40.14,102952.0,1.22324
32186461,32166281,3997706,-132.7977,40.14,102930.234,1.2229815
32236598,32219013,3997706,-133.12535,40.14,102934.24,1.223029
32296938,32274300,3997706,-133.53754,40.14,102939.24,1.2230885
32347069,32326986,3997706,-134.11357,40.14,102946.25,1.2231717
32397423,32379838,3997706,-133.55869,40.149998,102939.5,1.2230916
32458023,32435204,3997706,-133.0038,40.149998,102932.75,1.2230114
32508153,32488056,3997706,-132.86111,40.149998,102930.99,1.2229905
32558442,32540818,3997706,-132.52818,40.149998,102927.0,1.2229431
32618808,32596068,3997706,-133.04607,40.16,102933.24,1.2230172
32668936,32648847,3997706,-132.50705,40.149998,102926.74,1.22294
32719257,32701579,3997706,-132.71315,40.149998,102929.25,1.2229698
32779409,32756817,3997706,-132.5916,40.16,102927.75,1.2229519
32829727,32809596,3997706,-132.50705,40.16,102926.74,1.22294
32880330,32862413,3997706,-132.98267,40.16,102932.49,1.2230083
32940467,32917867,3997706,-132.28508,40.16,102924.0,1.2229074
32990816,32970622,3997706,-132.24281,40.16,102923.5,1.2229015
33040932,33023358,3997706,-131.87288,40.17,102919.01,1.222848
33101526,33078925,3997706,-131.85175,40.17,102918.75,1.222845
33151878,33131672,3997706,-132.22168,40.16,102923.24,1.2228984
33202003,33184425,3997706,-132.3855,40.17,102925.24,1.2229221
33262600,33240014,3997706,-131.74606,40.17,102917.49,1.22283
33313145,33292850,3997706,-131.85175,40.17,102918.75,1.222845
33363283,33345698,3997706,-131.99443,40.18,102920.49,1.2228657
33423624,33400985,3997706,-131.89403,40.18,102919.25,1.2228509
